"公司代號","公司名稱","產業別","基本每股盈餘(元)","普通股每股面額","營業收入","營業利益","營業外收入及支出","稅後淨利",
"1101","台灣水泥股份有限公司","水泥工業","1.34","新台幣                 10.0000元","68952108.00","9248171.00","-21615.00","6921541.00",
"1102","亞洲水泥股份有限公司","水泥工業","1.20","新台幣                 10.0000元","45349036.00","4197379.00","1031659.00","4329452.00",
"1103","嘉新水泥股份有限公司","水泥工業","-0.07","新台幣                 10.0000元","1565230.00","-96782.00","109117.00","-11400.00",
"1104","環球水泥股份有限公司","水泥工業","1.57","新台幣                 10.0000元","3287855.00","135176.00","932889.00","1005954.00",
"1108","幸福水泥股份有限公司","水泥工業","0.05","新台幣                 10.0000元","2592867.00","39853.00","-9861.00","20650.00",
"1109","信大水泥股份有限公司","水泥工業","0.72","新台幣                 10.0000元","3743408.00","421584.00","40207.00","379863.00",
"1110","東南水泥股份有限公司","水泥工業","0.01","新台幣                 10.0000元","1141614.00","-97483.00","102518.00","5323.00",
"1201","味全食品工業股份有限公司","食品工業","0.17","新台幣                 10.0000元","13169205.00","101275.00","263196.00","178037.00",
"1203","味王股份有限公司","食品工業","1.49","新台幣                 10.0000元","4633517.00","774237.00","17521.00","577602.00",
"1210","大成長城企業股份有限公司","食品工業","2.24","新台幣                 10.0000元","55967032.00","2139898.00","112918.00","1762218.00",
"1213","大西洋飲料股份有限公司","食品工業","0.21","新台幣                 10.0000元","535966.00","12027.00","3987.00","11707.00",
"1215","台灣卜蜂企業股份有限公司","食品工業","3.90","新台幣                 10.0000元","14759528.00","1270203.00","81047.00","1077780.00",
"1216","統一企業股份有限公司","食品工業","2.62","新台幣                 10.0000元","305037138.00","19471327.00","7226363.00","22447883.00",
"1217","愛之味股份有限公司","食品工業","0.00","新台幣                 10.0000元","3371910.00","17301.00","732.00","11140.00",
"1218","泰山企業股份有限公司","食品工業","0.88","新台幣                 10.0000元","5852520.00","6664.00","306085.00","300705.00",
"1219","福壽實業股份有限公司","食品工業","0.19","新台幣                 10.0000元","8016358.00","-32024.00","36966.00","-18362.00",
"1220","台榮產業股份有限公司","食品工業","0.38","新台幣                 10.0000元","1699435.00","61201.00","26896.00","71029.00",
"1225","福懋油脂股份有限公司","食品工業","1.11","新台幣                 10.0000元","7970121.00","360003.00","17715.00","300211.00",
